field,sample_size,fill_rate,empty_rate,unique_count,uniqueness_rate,entropy_bits,most_common_value,most_common_share,audit_note
redrob_signals.skill_assessment_scores.LoRA,1000,0.009,0.991,9,1.0,3.1699,73.9,0.1111,almost always empty
redrob_signals.skill_assessment_scores.Time Series,1000,0.009,0.991,9,1.0,3.1699,71.4,0.1111,almost always empty
redrob_signals.skill_assessment_scores.BM25,1000,0.01,0.99,10,1.0,3.3219,71.9,0.1,almost always empty
redrob_signals.skill_assessment_scores.MLflow,1000,0.01,0.99,9,0.9,3.1219,55.3,0.2,almost always empty
redrob_signals.skill_assessment_scores.Computer Vision,1000,0.011,0.989,10,0.9091,3.2776,53.7,0.1818,almost always empty
redrob_signals.skill_assessment_scores.Statistical Modeling,1000,0.011,0.989,11,1.0,3.4594,27.6,0.0909,almost always empty
redrob_signals.skill_assessment_scores.Data Science,1000,0.012,0.988,11,0.9167,3.4183,60.4,0.1667,almost always empty
redrob_signals.skill_assessment_scores.GANs,1000,0.012,0.988,12,1.0,3.585,27.7,0.0833,almost always empty
redrob_signals.skill_assessment_scores.Object Detection,1000,0.012,0.988,12,1.0,3.585,44.5,0.0833,almost always empty
redrob_signals.skill_assessment_scores.BentoML,1000,0.013,0.987,12,0.9231,3.5466,75.0,0.1538,almost always empty
redrob_signals.skill_assessment_scores.CNN,1000,0.013,0.987,13,1.0,3.7004,73.8,0.0769,almost always empty
redrob_signals.skill_assessment_scores.Feature Engineering,1000,0.013,0.987,13,1.0,3.7004,28.0,0.0769,almost always empty
redrob_signals.skill_assessment_scores.TTS,1000,0.013,0.987,13,1.0,3.7004,66.6,0.0769,almost always empty
redrob_signals.skill_assessment_scores.Diffusion Models,1000,0.014,0.986,14,1.0,3.8074,26.2,0.0714,almost always empty
redrob_signals.skill_assessment_scores.Kubeflow,1000,0.014,0.986,14,1.0,3.8074,62.9,0.0714,almost always empty
redrob_signals.skill_assessment_scores.YOLO,1000,0.014,0.986,14,1.0,3.8074,74.4,0.0714,almost always empty
redrob_signals.skill_assessment_scores.Image Classification,1000,0.015,0.985,15,1.0,3.9069,71.7,0.0667,almost always empty
redrob_signals.skill_assessment_scores.MLOps,1000,0.016,0.984,16,1.0,4.0,48.2,0.0625,almost always empty
redrob_signals.skill_assessment_scores.Weights & Biases,1000,0.017,0.983,17,1.0,4.0875,38.7,0.0588,almost always empty
redrob_signals.skill_assessment_scores.Forecasting,1000,0.018,0.982,17,0.9444,4.0588,49.1,0.1111,almost always empty
redrob_signals.skill_assessment_scores.OpenCV,1000,0.019,0.981,19,1.0,4.2479,60.3,0.0526,almost always empty
certifications.[].issuer.__fill_count,1000,0.238,0.762,2,0.0084,0.9992,1,0.5168,often empty
certifications.[].name.__fill_count,1000,0.238,0.762,2,0.0084,0.9992,1,0.5168,often empty
certifications.[].year.__fill_count,1000,0.238,0.762,2,0.0084,0.9992,1,0.5168,often empty
candidate_id,1000,1.0,0.0,1000,1.0,9.9658,"""CAND_0075722""",0.001,nearly unique per profile
career_history.[].company.__fill_count,1000,1.0,0.0,8,0.008,2.5107,2,0.254,
career_history.[].company_size.__fill_count,1000,1.0,0.0,8,0.008,2.5107,2,0.254,
career_history.[].description.__fill_count,1000,1.0,0.0,8,0.008,2.5107,2,0.254,
career_history.[].duration_months.__fill_count,1000,1.0,0.0,8,0.008,2.5107,2,0.254,
career_history.[].end_date.__fill_count,1000,1.0,0.0,8,0.008,2.5107,1,0.254,
career_history.[].industry.__fill_count,1000,1.0,0.0,8,0.008,2.5107,2,0.254,
career_history.[].is_current.__fill_count,1000,1.0,0.0,8,0.008,2.5107,2,0.254,
career_history.[].start_date.__fill_count,1000,1.0,0.0,8,0.008,2.5107,2,0.254,
career_history.[].title.__fill_count,1000,1.0,0.0,8,0.008,2.5107,2,0.254,
career_history.__count,1000,1.0,0.0,8,0.008,2.5107,2,0.254,
certifications.__count,1000,1.0,0.0,3,0.003,1.0295,0,0.762,
education.[].degree.__fill_count,1000,1.0,0.0,2,0.002,0.9837,1,0.575,
education.[].end_year.__fill_count,1000,1.0,0.0,2,0.002,0.9837,1,0.575,
education.[].field_of_study.__fill_count,1000,1.0,0.0,2,0.002,0.9837,1,0.575,
education.[].grade.__fill_count,1000,1.0,0.0,2,0.002,0.9837,1,0.575,
education.[].institution.__fill_count,1000,1.0,0.0,2,0.002,0.9837,1,0.575,
education.[].start_year.__fill_count,1000,1.0,0.0,2,0.002,0.9837,1,0.575,
education.[].tier.__fill_count,1000,1.0,0.0,2,0.002,0.9837,1,0.575,
education.__count,1000,1.0,0.0,2,0.002,0.9837,1,0.575,
languages.[].language.__fill_count,1000,1.0,0.0,1,0.001,0.0,2,1.0,single repeated value
languages.[].proficiency.__fill_count,1000,1.0,0.0,1,0.001,0.0,2,1.0,single repeated value
languages.__count,1000,1.0,0.0,1,0.001,0.0,2,1.0,single repeated value
profile.anonymized_name,1000,1.0,0.0,879,0.879,9.7147,"""Krishna Bansal""",0.003,
profile.country,1000,1.0,0.0,8,0.008,1.3068,"""India""",0.771,
profile.current_company,1000,1.0,0.0,37,0.037,4.2587,"""Acme Corp""",0.085,
profile.current_company_size,1000,1.0,0.0,7,0.007,2.4817,"""10001+""",0.368,
profile.current_industry,1000,1.0,0.0,16,0.016,2.6986,"""IT Services""",0.261,
profile.current_title,1000,1.0,0.0,35,0.035,4.5931,"""Content Writer""",0.079,
profile.headline,1000,1.0,0.0,310,0.31,7.2048,"""Content Writer | Helping teams scale""",0.028,
profile.location,1000,1.0,0.0,28,0.028,4.7286,"""Ahmedabad, Gujarat""",0.058,
profile.summary,1000,1.0,0.0,614,0.614,9.0673,"""Professional with 8.3+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about how AI tools could augment my work \u2014 I've e",0.006,
profile.years_of_experience,1000,1.0,0.0,141,0.141,6.9967,5.6,0.015,
redrob_signals.applications_submitted_30d,1000,1.0,0.0,17,0.017,3.6719,5,0.109,
redrob_signals.avg_response_time_hours,1000,1.0,0.0,829,0.829,9.609,187.0,0.004,
redrob_signals.connection_count,1000,1.0,0.0,541,0.541,8.8805,178,0.007,
redrob_signals.endorsements_received,1000,1.0,0.0,94,0.094,6.1306,14,0.029,
redrob_signals.expected_salary_range_inr_lpa.max,1000,1.0,0.0,312,0.312,8.0079,6.5,0.01,
redrob_signals.expected_salary_range_inr_lpa.min,1000,1.0,0.0,223,0.223,7.482,15.2,0.012,
redrob_signals.github_activity_score,1000,1.0,0.0,283,0.283,3.9616,-1,0.625,
redrob_signals.interview_completion_rate,1000,1.0,0.0,69,0.069,5.947,0.86,0.029,
redrob_signals.last_active_date,1000,1.0,0.0,235,0.235,7.6897,"""2026-04-26""",0.011,
redrob_signals.linkedin_connected,1000,1.0,0.0,2,0.002,0.9507,false,0.63,
redrob_signals.notice_period_days,1000,1.0,0.0,7,0.007,2.2477,90,0.336,
redrob_signals.offer_acceptance_rate,1000,1.0,0.0,70,0.07,3.2295,-1,0.617,
redrob_signals.open_to_work_flag,1000,1.0,0.0,2,0.002,0.9443,false,0.638,
redrob_signals.preferred_work_mode,1000,1.0,0.0,4,0.004,1.9971,"""flexible""",0.269,
redrob_signals.profile_completeness_score,1000,1.0,0.0,492,0.492,8.7574,59.2,0.007,
redrob_signals.profile_views_received_30d,1000,1.0,0.0,137,0.137,6.7204,57,0.02,
redrob_signals.recruiter_response_rate,1000,1.0,0.0,82,0.082,6.2149,0.24,0.025,
redrob_signals.saved_by_recruiters_30d,1000,1.0,0.0,35,0.035,4.2834,9,0.081,
redrob_signals.search_appearance_30d,1000,1.0,0.0,288,0.288,7.8487,176,0.012,
redrob_signals.signup_date,1000,1.0,0.0,721,0.721,9.3513,"""2024-08-16""",0.006,
redrob_signals.verified_email,1000,1.0,0.0,2,0.002,0.8801,true,0.701,
redrob_signals.verified_phone,1000,1.0,0.0,2,0.002,0.9601,true,0.617,
redrob_signals.willing_to_relocate,1000,1.0,0.0,2,0.002,0.8608,false,0.716,
skills.[].duration_months.__fill_count,1000,1.0,0.0,17,0.017,3.5408,8,0.154,
skills.[].endorsements.__fill_count,1000,1.0,0.0,17,0.017,3.5408,8,0.154,
skills.[].name.__fill_count,1000,1.0,0.0,17,0.017,3.5408,8,0.154,
skills.[].proficiency.__fill_count,1000,1.0,0.0,17,0.017,3.5408,8,0.154,
skills.__count,1000,1.0,0.0,17,0.017,3.5408,8,0.154,
